,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Macedonia,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Antigua & Barbuda,Denmark,Kosovo,Vietnam,Dominican Republic
2023-01-31,55.0,0,0.0,0.0,0,0.0,0,0,0.0,0,4.0,0,2.0,0,0.0,0.0,0,344.9224198565662,327.06666666666666,6.25,0.0,61.083333333333336,0.0,31.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,554.7166666666667,0.0,0.0,0.0,0.0,295.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,14.0,0.0,0.0,14.0,26.0,0,0.0,0.0,0,23.0,3.166666666666667,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,178.19444444444443,0,0.0,312.4971021408885,0.0,0.0,77.66666666666667,192.38095238095238,0.0,0.0,0,0.0,26.0,665.1428571428571,161.33333333333334,0.0,16.333333333333332,0,0.0,18.60344827586207,0,0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0,658.0,1.0,45.42857142857143,0,0.0,21.0,2.0,138.0,0.0,0.0,5.0,7.25,0.0,0.0,12.0,3.0,11079.917011947877,0,0.0,13,0.0,9.0,118.03333333333333,0.0,0.0,0,0,0,0,0
2023-02-28,15.5,0,1.0,0.0,0,0.0,0,0,0.0,0,1.0,0,1.0,0,0.0,0.0,0,239.58128994391546,657.0880952380952,2.0,0.0,30.5,0.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,364.3333333333333,0.0,1.0,0.0,0.0,146.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,16.0,28.5,1.0,0.0,90.0,27.0,0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,201.47916666666669,0,0.0,244.997675833999,0.0,0.0,21.0,173.5,0.0,0.0,0,0.0,48.125,704.456277056277,72.83333333333333,0.0,0.0,0,0.0,41.67049808429119,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1119.0,0.0,34.0,0,0.0,29.428571428571427,0.0,176.0,0.0,0.0,2.0,53.75,0.0,0.0,0.0,3.0,9810.86211980947,0,0.0,0,0.0,4.0,99.04166666666667,0.0,0.0,0,0,0,0,0
2023-03-31,50.0,0,0.0,0.0,0,1.0,0,0,5.0,0,3.0,0,8.0,0,0.0,0.0,0,221.13372089412263,684.5571428571428,2.0,0.0,37.0,0.0,31.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,663.7458333333333,0.0,0.0,0.0,0.0,91.33333333333334,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,27.0,18.0,16.0,12.0,0.0,65.0,21.0,0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,158.75,0,10.0,334.1486172924037,0.0,1.0,13.0,319.96666666666664,1.0,1.0,0,0.0,183.96376811594203,747.7024280067758,71.0,0.0,6.0,0,6.0,43.0,0,0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0,276.4,2.0,25.0,0,0.0,18.0,2.0,148.0,0.0,0.0,2.0,3.0,0.0,0.0,7.0,1.0,10064.004003568927,0,0.0,0,0.0,10.25,187.56666666666666,0.0,0.0,0,0,0,0,0
2023-04-30,51.0,0,0.0,0.0,0,7.0,0,0,3.0,0,10.0,0,4.0,0,0.0,0.0,0,241.9642857142857,799.0,5.0,0.0,83.14285714285714,0.0,56.03448275862069,22.0,0.0,0.0,0.0,0.0,0.0,0.0,677.2916666666666,15.0,0.0,0.0,0.0,49.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,136.0,1.0,34.0,12.333333333333332,0.0,17.0,4.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,116.0,0,0.0,399.1760812507132,0.0,0.0,21.0,389.66959064327483,0.0,0.0,0,0.0,18.536789297658864,766.16341991342,100.0,0.0,0.0,0,0.0,25.0,0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0,90.0,0.0,18.0,0,0.0,784.1111111111111,2.0,148.0,3.0,0.0,5.0,6.0,0.0,0.0,6.0,2.0,9494.956540743911,0,0.0,6,0.0,7.0,43.14285714285714,0.0,0.0,0,0,0,0,0
2023-05-31,18.833333333333332,0,1.0,0.0,0,4.0,0,0,0.0,0,4.0,0,30.333333333333332,0,1.0,0.0,0,204.71363636363637,555.5,9.5,0.0,54.0,0.0,47.5,51.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,281.4458333333333,0.0,1.0,0.0,0.0,143.72540983606555,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,52.0,3.0,147.6,3.5,6.0,42.03333333333333,62.0,0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0,46.0,0,0.0,374.45922335300975,0.0,0.0,22.282142857142855,229.83333333333334,0.0,0.0,0,0.0,23.566602962255136,719.8497474747475,93.0,0.0,8.0,0,0.0,23.0,0,0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0,358.0,10.571428571428571,0.0,0,0.0,1099.2326007326008,1.0,82.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,0.0,9976.089315193576,0,0.0,3,0.0,10.0,53.0,0.0,0.0,0,0,0,0,0
2023-06-30,31.333333333333332,0,0.0,0.0,0,0.0,1,0,4.0,0,7.0,0,0.0,0,0.0,0.0,0,317.0440065681445,716.0769230769231,4.5,0.0,60.0,0.0,67.0,38.0,0.0,7.0,0.0,0.0,0.0,0.0,339.33750000000003,0.0,0.0,0.0,0.0,94.90196909741849,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,12.0,57.0,77.33623188405797,0.0,3.0,73.5344827586207,22.0,0,0.0,0.0,0,42.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,88.0,0,0.0,400.2031153714482,0.0,0.0,18.095238095238095,295.2510946907499,0.0,0.0,0,0.0,40.53851321092701,933.8070175438596,55.0,0.0,14.333333333333334,0,0.0,20.143448275862067,0,0,0.0,70.0,0.0,2.0,0.0,0.0,0.0,0,262.0,3.0,40.0,0,0.0,648.7037851037851,2.0,130.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,46.0,9432.033040309254,0,0.0,0,0.0,8.0,46.69230769230769,0.0,0.0,0,0,0,9,0
2023-07-31,17.5,0,0.0,2.3333333333333335,0,0.0,0,0,0.0,0,8.0,0,2.0,0,0.0,0.0,0,267.8333333333333,534.0,10.5,0.0,66.0,0.0,22.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,230.42857142857142,55.5,6.111111111111111,0.0,1.0,165.63324225865207,1,0.0,0.0,0,10.0,0.0,0.0,0.0,0,13.0,0.0,125.34086956521739,0.0,10.0,51.03333333333333,44.0,0,0.0,0.0,0,55.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,330.1666666666667,0,0.0,389.34010494752624,0.0,0.0,27.1,225.53035714285713,0.0,0.0,0,0.0,19.0,1015.1587719298245,111.0,0.0,1.0,0,0.0,13.5,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,514.3333333333334,21.0,9.0,0,0.0,717.4761904761905,3.0,126.0,0.0,0.0,5.0,12.0,0.0,0.0,9.0,9.0,9227.279055475654,0,0.0,1,0.0,12.310344827586206,56.98461538461539,0.0,0.0,0,0,0,0,0
2023-08-31,25.0,0,0.0,1.0,0,1.0,0,0,0.0,0,3.0,0,12.0,0,0.0,0.0,0,287.5,502.0,7.5,0.0,82.0,0.0,58.5,0.0,0.0,40.0,0.0,0.0,0.0,0.0,458.0,0.0,2.0,0.0,0.0,580.5334733893558,0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,43.75,0.0,67.0,13.583333333333332,5.0,60.06666666666667,37.0,0,0.0,0.0,0,69.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,144.0,0,0.0,414.5880170554084,0.0,0.0,26.0,228.54982517482517,0.0,0.0,0,0.0,126.66666666666667,308.5238095238095,109.25,0.0,50.64285714285714,0,0.0,17.1984126984127,0,0,0.0,23.0,0.0,0.0,2.0,0.0,0.0,0,239.0,7.0,0.0,0,0.0,510.56155632984905,2.0,270.5,3.0,0.0,13.0,0.0,0.0,0.0,10.0,0.0,7346.825555729347,0,0.0,0,0.0,17.758620689655174,102.0,0.0,1.0,1,1,0,0,0
2023-09-30,12.0,0,2.0,0.0,0,4.0,0,0,825.0,0,3.0,0,5.0,0,0.0,0.0,0,135.28472222222223,369.4333333333334,68.0,0.0,95.0,0.0,8.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,166.33333333333331,0.0,0.0,0.0,0.0,341.6190009337068,0,0.0,0.0,0,9.0,0.0,0.0,0.0,0,1.0,0.0,46.33333333333333,8.125,2.0,29.0,36.166666666666664,0,0.0,0.0,0,24.0,3.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,215.0,0,0.0,274.83419913419914,0.0,0.0,14.0,220.23776223776224,0.0,0.0,0,0.0,79.0,338.20952380952383,161.0,0.0,0.0,0,0.0,31.238095238095237,0,0,0.0,9.0,0.0,4.0,2.0,0.0,0.0,0,706.0,5.0,1.0,0,0.0,330.75372692908434,7.0,261.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2649.4105597690655,0,0.0,0,0.0,5.0,55.0,0.0,0.0,0,0,4,0,0
2023-10-31,34.0,0,0.0,0.0,0,2.0,0,0,0.0,0,8.0,2,0.0,0,0.0,1.0,0,205.29722222222222,625.6666666666666,1.0,0.0,50.0,0.0,29.0,0.0,0.0,101.18181818181819,0.0,0.0,0.0,0.0,281.55555555555554,10.0,3.0,0.0,0.0,164.8,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.0,3.0,25.0,18.0,0.0,33.0,7337.0,0,1.0,0.0,0,23.0,0.0,0.0,0.0,0.0,58.92307692307692,0,0.0,0.0,0.0,0.0,0,144.5,0,0.0,356.50396825396825,0.0,0.0,17.5,239.2792207792208,0.0,0.0,0,0.0,147.0,594.1964285714286,146.0,0.0,0.0,0,0.0,8.238095238095237,0,0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0,255.5,3.0,0.0,0,0.0,242.46465907317835,3.0,429.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,19.0,2860.030711610487,0,0.0,0,0.0,6.0,36.666666666666664,0.0,0.0,0,0,0,0,1
